City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
457,navoi,40.0844,65.3792,-0.29,93,59,2.06,UZ,1673213416
458,marsh harbour,26.5412,-77.0636,22.99,64,69,5.59,BS,1673213398
459,regina,50.4501,-104.6178,-4.98,82,75,5.14,CA,1673213473
460,komsomolskiy,40.4272,71.7189,5.4,87,40,2.06,UZ,1673213474
461,council bluffs,41.2619,-95.8608,8.05,59,0,5.66,US,1673213474
462,disna,55.568,28.1971,-7.4,87,100,5.61,BY,1673213474
463,soe,-9.8607,124.284,18.74,93,99,1.2,ID,1673213474
464,thinadhoo,0.5333,72.9333,26.76,77,98,3.04,MV,1673213474
465,sembakung,3.8167,117.25,22.42,99,100,0.48,ID,1673213474
466,jieshi,22.8134,115.8257,17.54,67,100,4.68,CN,1673213474
467,ibra,22.6906,58.5334,17.09,82,20,1.15,OM,1673213475
468,puerto del rosario,28.5004,-13.8627,19.86,73,40,6.69,ES,1673213371
469,soyo,-6.1349,12.3689,25.28,88,97,2.41,AO,1673213475
470,asyut,27.181,31.1837,16.14,40,80,5.37,EG,1673213324
471,dakar,14.6937,-17.4441,26.49,73,0,1.03,SN,1673213475
472,georgetown,5.4112,100.3354,25.53,93,20,1.03,MY,1673213268
473,cabedelo,-6.9811,-34.8339,27.37,69,97,4.12,BR,1673213475
474,dedougou,12.4667,-3.4667,24.62,20,25,3.62,BF,1673213476
475,pasni,25.2631,63.471,20.98,75,8,4.03,PK,1673213476
476,krasnoselkup,65.7,82.4667,-39.13,100,56,2.28,RU,1673213477
477,rivadavia,-33.1905,-68.4608,33.94,19,75,6.06,AR,1673213477
478,xining,36.6167,101.7667,-3.14,23,66,0.76,CN,1673213477
479,buin,-33.7333,-70.75,33.02,36,0,5.04,CL,1673213477
480,samarai,-10.6167,150.6667,28.34,76,100,2.71,PG,1673213477
481,otane,-39.8833,176.6333,18.34,93,93,4.8,NZ,1673213477
482,atar,20.5169,-13.0499,21.57,14,100,7.98,MR,1673213478
483,alytus,54.4,24.05,-0.69,88,100,6.88,LT,1673213478
484,seddon,-37.8068,144.8916,24.2,54,0,3.09,AU,1673213479
485,ginda,30.6945,78.4932,9.64,29,31,3.16,IN,1673213479
486,gaogou,34.0175,119.1886,4.69,63,0,4.37,CN,1673213479
487,lipin bor,60.2622,37.9763,-30.68,99,36,2.29,RU,1673213480
488,shizunai,42.3339,142.3669,-0.27,82,100,0.88,JP,1673213481
489,sinnamary,5.3833,-52.95,24.06,91,99,4.14,GF,1673213481
490,price,39.5994,-110.8107,2.29,75,100,0.0,US,1673213481
491,goderich,43.7501,-81.7165,-0.05,74,100,4.12,CA,1673213482
492,menongue,-14.6585,17.691,18.61,81,86,1.93,AO,1673213482
493,pangkalanbuun,-2.6833,111.6167,22.75,98,98,1.0,ID,1673213482
494,bilma,18.6853,12.9164,16.41,22,34,5.08,NE,1673213482
495,vicente guerrero,19.1194,-98.1708,22.66,22,1,2.71,MX,1673213482
496,pacific grove,36.6177,-121.9166,17.46,78,100,4.12,US,1673213482
497,santa clara,22.4,-79.9667,26.81,69,75,6.69,CU,1673213299
498,ardatov,55.2421,43.097,-33.18,100,67,1.35,RU,1673213483
499,ulaanbaatar,47.9077,106.8832,-16.1,89,4,2.25,MN,1673213291
500,unity,52.4501,-109.1682,-5.42,88,65,3.17,CA,1673213483
501,ornskoldsvik,63.2909,18.7153,-0.47,100,100,7.72,SE,1673213483
502,chumikan,54.7183,135.315,-20.27,86,100,8.54,RU,1673213483
503,moroni,-11.7022,43.2551,25.97,80,31,0.54,KM,1673213483
504,blackwater,-23.5833,148.8833,26.12,62,91,3.16,AU,1673213484
505,sumbe,-11.2061,13.8437,25.11,84,95,1.48,AO,1673213484
506,dicabisagan,17.0818,122.4157,22.55,86,81,3.6,PH,1673213484
507,fenoarivo,-18.933,47.4354,20.04,88,40,4.12,MG,1673213484
508,marquette,46.5333,-87.6335,-1.24,78,97,4.24,US,1673213484
509,binga,-17.6203,27.3414,20.56,89,100,0.57,ZW,1673213485
510,saginaw,43.3334,-84.0333,0.08,72,100,2.57,US,1673213485
511,nizhniy kuranakh,58.8353,125.4869,-19.85,95,99,1.84,RU,1673213485
512,honningsvag,70.9821,25.9704,-6.14,73,75,17.49,NO,1673213485
513,kuah,6.3265,99.8432,25.56,88,20,1.54,MY,1673213486
514,warren,39.4334,-84.1666,4.86,69,40,2.06,US,1673213486
515,shieli,44.1667,66.75,-3.34,53,100,3.33,KZ,1673213486
516,luxor,25.6989,32.6421,13.83,51,16,3.08,EG,1673213486
517,verkhoyansk,67.5447,133.385,-52.58,100,79,0.66,RU,1673213122
518,opuwo,-18.0607,13.84,21.42,35,94,4.26,NA,1673213486
519,hanzhong,33.0728,107.0303,6.36,64,0,0.4,CN,1673213486
520,marevo,57.3146,32.0804,-10.65,81,100,4.16,RU,1673213486
521,rong kwang,18.339,100.3174,19.64,62,81,1.05,TH,1673213487
522,nouadhibou,20.931,-17.0347,20.99,43,0,5.14,MR,1673213487
523,leshukonskoye,64.8989,45.7622,-39.62,100,53,1.36,RU,1673213488
524,fare,-16.7,-151.0167,27.29,74,56,5.52,PF,1673213488
